how ^wrb+who+++=how
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
only ^rb+down+++=only
have ^vb+hv+vrb++=have
free ^jj+atrb+++=free
food ^nn++++=food
during ^in++++=during
festivals ^nns+nom+++=festivals
and ^cc++++=and
events ^nns++++=events
downtown ^rn++++=downtown,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
art ^nn++++=art
walk ^nn++++=walk.
. ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
in ^in++++=in
need ^nn++++=need,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
would ^md+prd+++=would
check ^vb+vprv+++=check
the ^ati++++=the
food ^nn++++=food
bank ^nn++++=bank
at ^rb++++=at
3805 ^cd++++=3805
e ^zz++++=e
huntington ^nn+++??+=huntington
drive ^nn++++=drive
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=east
of ^in++++=of
town ^nn++++=town.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
cheap ^jj+atrb+++=cheap
food ^nn++++=food
in ^in++++=in
downtown ^rn++++=downtown,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
fratelli ^nn+++??+=fratelli's
's ^$++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
slices ^nns++++=slices
of ^in++++=of
pizza ^nn++++=pizza
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
usually ^rb+down+++=usually
around ^in++++=around
$ ^zz++++=$3.
3 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
the ^ati++++=the
pastries ^nns++++=pastries
at ^in++++=at
macy ^nn++++=macy's
's ^$++++=EXTRAWORD
cafe ^nn++++=cafe
and ^cc++++=and
mozelle ^nn+++??+=mozelle's
's ^$++++=EXTRAWORD
have ^vb+hv+vrb++=have
reasonable ^jj+atrb+++=reasonable
prices ^nns++++=prices,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
any ^dti++++=any
other ^ap++++=other
questions ^nns+nom+++=questions?
? ^zz++++=EXTRAWORD
