Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
received ^vbd+++xvbn+=received
its ^pp$+it+++=its
name ^nn++++=name
in ^in++++=in
1876 ^cd+date+++=1876
when ^wrb+who+++=when
a ^at++++=a
group ^nn++++=group
raised ^vbd+++xvbn+=raised
a ^at++++=a
flag ^nn++++=flag
on ^in++++=on
a ^at++++=a
pine ^nn++++=pine
staff ^nn++++=staff
to ^to++++=to
celebrate ^nn+nom+++=celebrate
Independence ^nn+nom+++=Independence
Day ^nn++++=Day.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
incorporated ^vpsv++agls+xvbnx+=incorporated
in ^in++++=in
1881 ^cd+date+++=1881
About ^in++++=About
70,000 ^cd++++=70,000
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
find ^vb+vprv+++=find
this ^dt+dem+++=this
exact ^jj+atrb+++=exact
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
do ^vb+do+aux++=do
receive ^vb++++=receive
visitors ^nns++++=visitors
year ^nn++++=year
round ^rp++++=round
for ^in++++=for
winter ^np++++=winter,
, ^zz++++=EXTRAWORD
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
autumn ^nn++++=autumn
activities ^nns+nom+++=activities.
. ^zz++++=EXTRAWORD
