yes ^uh++++=yes
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
two ^cd++++=two:
: ^zz++++=EXTRAWORD
Grandc ^np+++??+=GrandC
international ^jj+atrb+++=international
hostel ^nn++++=hostel
and ^cc++++=and
motel ^nn+++??+=motel
dubeau ^nn+++??+=dubeau
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
they ^pp3a+pp3+++=they
can ^md+pos+++=can
fill ^vb++++=fill
up ^rp++++=up
especially ^rb++++=especially
on ^in++++=on
weekends ^nns++++=weekends
but ^cc++++=but
usually ^rb+down+++=usually
you ^pp2+pp2+++=you
can ^md+pos+++=can
arrange ^vb++++=arrange
a ^at++++=a
room ^nn++++=room
same ^ap++++=same
day ^nn++++=day.
. ^zz++++=EXTRAWORD
