Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
suggest ^vb+vpub+++=suggest
walking ^nvbg+++xvbg+=walking
around ^rp++++=around
the ^ati++++=the
historic ^jj++++=historic
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
self ^nn++++=self-guided
- ^zz++++=EXTRAWORD
guided ^vbd+++xvbn+=EXTRAWORD
walking ^nvbg+++xvbg+=walking
tours ^nns++++=tours
inside ^in+pl+++=inside
the ^ati++++=the
visitor ^nn++++=visitor's
's ^vbz+bez+vrb++0=EXTRAWORD
center ^jjr++++=center
that ^dt+pdem+++=that
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
the ^ati++++=the
history ^nn++++=history
of ^in++++=of
Flagstaff ^np+++??+=Flagstaff
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
about ^in++++=about
an ^at++++=an
hour ^nn++++=hour
long ^rb++++=long.
. ^zz++++=EXTRAWORD
yes ^uh++++=yes
but ^cc++++=but
you ^pp2+pp2+++=you
will ^md+prd+++=will
need ^vb++md++=need
to ^to+vcmp+++=to
park ^vb++++=park
on ^rp++++=on
the ^ati++++=the
other ^ppls++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
building ^jj+++xvbg+=building
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
in ^in++++=in
15 ^cd++++=15
minute ^jj+atrb+++=minute
parking ^nvbg+++xvbg+=parking.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
$ ^zz++++=$1
1 ^zz++++=EXTRAWORD
an ^at++++=an
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
pay ^vb++++=pay
at ^in++++=at
the ^ati++++=the
kiosk ^nn++++=kiosk
by ^in++++=by
the ^ati++++=the
green ^jj+atrb+++=green
dumpster ^nn+nom+++=dumpster.
. ^zz++++=EXTRAWORD
Walk ^vb++++=Walk
up ^rp++++=up
San ^np++++=San
Francisco ^np++++=Francisco
St ^npt++++=St
to ^in++++=to
Aspen ^np+++??+=Aspen
Ave ^np++++=Ave.
 ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
s ^vbz+bez+vrb++0=EXTRAWORD
Been ^vprf+ben+vrb+xvbn+=been
In ^in++++=in
Many ^ap++++=many
Films ^nns++++=films.
 ^zz++++=EXTRAWORD
