there ^ex+pex+++=there
are ^vb+ber+vrb++=are
restrooms ^nns+++??+=restrooms
you ^pp2+pp2+++=you
can ^md+pos+++=can
use ^vb++++=use
in ^in++++=in
city ^nn++++=city
hall ^npl++++=hall
or ^cc++++=or
Oldtown ^np+++??+=OldTown
shops ^nns++++=shops
parking ^vwbg+++xvbg+=parking
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
easy ^jj++++=easy.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
pay ^vb++++=pay
$ ^zz++++=$1/hour
1 ^zz++++=EXTRAWORD
in ^in++++=in
kiosks ^nns++++=kiosks
when ^wrb+who+++=when
you ^pp2+pp2+++=you
enter ^vb++++=enter
your ^pp$+pp2+++=your
licence ^nn+nom+++=licence
plates ^nns++++=plates
and ^cc++++=and
credit ^nn++++=credit
card ^nn++++=card,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
you ^pp2+pp2+++=you
can ^md+pos+++=can
also ^rb++++=also
use ^nn++++=use
woosh ^nn++++=woosh
app ^nn++++=app
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
