well ^rb++++=well
flagstaff ^nn+++??+=flagstaff
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbnx+=established
in ^in++++=in
1882 ^cd+date+++=1882,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
137 ^cd++++=137
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
what ^wdt+who+++=what
things ^nns++++=things
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay
i ^pp1a+pp1+++=i
think ^vb+vprv+++=think
the ^ati++++=the
flagstaff ^nn+++??+=flagstaff
urban ^jj+atrb+++=urban
trail ^nn++++=trail
system ^nn++++=system
would ^md+prd+++=would
be ^vb+be+vrb++=be
really ^rb+emph+++=really
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
Buffalop ^np+++??+=BuffaloP
or ^cc++++=or
the ^ati++++=the
sinclair ^np++++=sinclair
wash ^nn++++=wash
trail ^nn++++=trail
are ^vb+ber+vrb++=are
two ^cd++++=two
ones ^cd1s++++=ones
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
recommend ^vb+vsua+++=recommend.
. ^zz++++=EXTRAWORD
also ^rb++++=also
the ^ati++++=the
national ^jj+atrb+++=national
monuments ^nns+nom+++=monuments
sunsetc ^nn+++??+=sunsetc,
, ^zz++++=EXTRAWORD
wupatki ^nn+++??+=wupatki
and ^cc++++=and
walnutc ^nn+++??+=walnutc
would ^md+prd+++=would
be ^vb+be+vrb++=be
my ^pp$+pp1+++=my
options ^nns+nom+++=options
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
