Hello ^rb+dspt+++=Hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
is ^vbz+bez+vrb++=is
< ^zz++++=<Tour
tour ^nn++++=EXTRAWORD
Guide ^vb++++=Guide
A ^at++++=A>.
> ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you
with ^in++++=with
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
kind ^rb++++=kind
of ^rb"++++=of
accommodation ^nn+nom+++=accommodation
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
looking ^vbg+++xvbg+=looking
for ^cs+sub+++=for?
? ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
definitely ^rb++++=definitely
have ^vb+hv+vrb++=have
some ^dti++++=some
options ^nns+nom+++=options
that ^tht+rel+subj++=that
would ^md+prd+++=would
fit ^jj++++=fit
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
comfortable ^jj+pred+++=comfortable
with ^in++++=with
a ^at++++=a
hostel ^nn++++=hostel,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
the ^ati++++=the
Motel ^np+++??+=Motel
du ^&fw++++=du
Beau ^np+++??+=Beau
and ^cc++++=and
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
International ^jj+atrb+++=International
Hostel ^nn++++=Hostel
in ^in++++=in
downtown ^rn++++=downtown
Flagstaff ^np+++??+=Flagstaff,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
if ^cs+cnd+++=if
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
looking ^vbg+++xvbgx+=looking
more ^rbr++++=more
for ^in++++=for
a ^at++++=a
traditional ^jj+atrb+++=traditional
hotel ^npl++++=hotel
you ^pp2+pp2+++=you
can ^md+pos+++=can
stay ^vb++++=stay
at ^in++++=at
hotels ^npl++++=hotels
like ^vb++++=like
the ^ati++++=the
Super ^jj++++=Super
8 ^zz++++=8,
, ^zz++++=EXTRAWORD
Days ^nns++++=Days
Inn ^npl++++=Inn,
, ^zz++++=EXTRAWORD
Knights ^nns++++=Knights
Inn ^npl++++=Inn,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
Prices ^nns++++=Prices
for ^in++++=for
all ^abn++++=all
Flagstaff ^np+++??+=Flagstaff
hotels ^npl++++=hotels
change ^vb++++=change
pretty ^rb++++=pretty
much ^ap++++=much
daily ^jj++++=daily,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
can ^md+pos+++=can
easily ^rb++++=easily
search ^nn++++=search
online ^nn+++??+=online
for ^in++++=for
prices ^nns++++=prices
if ^cs+cnd+++=if
any ^dt++++=any
of ^in++++=of
those ^dt+dem+++=those
interest ^nn++++=interest
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
kind ^rb++++=kind
of ^rb"++++=of
food ^nn++++=food
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
like ^vb++++=like?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
most ^ql+emph+++=most
cuisines ^nns+++??+=cuisines
in ^in++++=in
downtown ^rn++++=downtown
Flagstaff ^np+++??+=Flagstaff.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
quite ^abl++++=quite
a ^ap++++=a
few ^ap"++++=few
local ^jj+atrb+++=local
breweries ^nns+nom+++=breweries
in ^in++++=in
the ^ati++++=the
downtown ^rn++++=downtown
district ^nn++++=district,
, ^zz++++=EXTRAWORD
like ^vb++++=like
Mother ^nn++++=Mother
Road ^nn++++=Road
and ^cc++++=and
the ^ati++++=the
Lumberyard ^np+++??+=Lumberyard,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
also ^rb++++=also
