No ^at++++=No
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
not ^xnot++not++=not
accessible ^jj++++=accessible
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
the ^ati++++=the
tunnels ^nns++++=tunnels
are ^vb+ber+vrb++=are
the ^ati++++=the
basements ^nns+nom+++=basements
of ^in++++=of
the ^ati++++=the
downtown ^rn++++=downtown
buildings ^nns++++=buildings,
, ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
connections ^nns+nom+++=connections
of ^in++++=of
the ^ati++++=the
Building ^jj+++xvbg+=Building
not ^xnot++not++=not
longer ^rbr++++=longer
exist ^vb++++=exist.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
created ^vpsv++agls+xvbnx+=created
to ^in++++=to
heat ^nn++++=heat
the ^ati++++=the
buildings ^npl++++=buildings
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Chinese ^jj+atrb+++=Chinese
Connection ^nn+nom+++=Connection
come ^vb++++=come
in ^cs+sub+++=in
that ^cs"++++=that
during ^in++++=during
the ^ati++++=the
second ^nn++++=second
world ^nn++++=world
war ^nn++++=war
Asian ^jj+atrb+++=Asian
Americans ^nns+nom+++=Americans
hid ^vbd+++xvbn+=hid
in ^rp++++=in
them ^pp3o+pp3+++=them
to ^to++++=to
escape ^vbi++++=escape
persecution ^nn+nom+++=persecution.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
welcome ^nn++++=welcome
and ^cc++++=and
yeah ^uh++++=yeah
i ^pp1a+pp1+++=I
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them
too ^ql++++=Too!
! ^zz++++=EXTRAWORD
