i ^pp1a+pp1+++=i
guess ^vb++++=guess
the ^ati++++=the
best ^jjt+atrb+++=best
time ^nn++++=time
is ^vbz+bez+vrb++=is
the ^ati++++=the
closest ^jjt++++=closest
you ^pp2+pp2+++=you
can ^md+pos+++=can
to ^in++++=to
midday ^nn++++=midday
so ^ql++++=so
you ^pp2+pp2+++=you
get ^vb++++=get
the ^ati++++=the
shafts ^nns++++=shafts
of ^in++++=of
light ^jj++++=light
however ^rb+cnj+++=however
this ^dt+dem+++=this
season ^nn++++=season
right ^nn++++=right
now ^rn+tm+++=now
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
hard ^jj++++=hard
to ^to+jcmp+++=to
visit ^vbi++++=visit
as ^ql++++=as
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
very ^ql+amp+++=very
dangerous ^jj++++=dangerous
to ^to++++=to
give ^vbi++++=give
tours ^nns++++=tours
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
get ^vb++++=get
rain ^nn++++=rain
nearby ^jjb++++=nearby.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
