Hi ^uh++++=Hi
the ^ati++++=the
Grandc ^np+++??+=GrandC
railway ^nn++++=railway
departs ^vbz++++=departs
from ^in++++=from
williams ^np++++=williams
each ^dt++++=each
morning ^nn++++=morning
around ^in++++=around
9am ^cd++++=9am.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
about ^in++++=about
a ^at++++=a
three ^cd++++=three
hour ^nn++++=hour
ride ^nn++++=ride
to ^in++++=to
the ^ati++++=the
Grandc ^np+++??+=GrandC
where ^wrb+who+++=where
you ^pp2+pp2+++=you
get ^vb++++=get
off ^rb+phrv+++=off
the ^ati++++=the
train ^nn++++=train
and ^cc++++=and
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
4 ^zz++++=4
hours ^nns++++=hours
to ^to++++=to
explore ^vbi++++=explore
the ^ati++++=the
Grandc ^np+++??+=GrandC
on ^in++++=on
your ^pp$+pp2+++=your
own ^ap++++=own
or ^cc++++=or
you ^pp2+pp2+++=you
can ^md+pos+++=can
take ^vb++++=take
the ^ati++++=the
buses ^nns++++=buses
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
canyon ^nn++++=canyon
. ^zz++++=.
then ^rn+tm+++=then
you ^pp2+pp2+++=you
will ^md+prd+++=will
get ^vb++++=get
back ^rb+phrv+++=back
and ^cc++++=and
you ^pp2+pp2+++=you
arrive ^vb++++=arrive
back ^jjb++++=back
in ^in++++=in
williams ^np++++=williams
at ^in++++=at
5:30pm ^cd++++=5:30pm.
. ^zz++++=EXTRAWORD
