we ^pp1a+pp1+++=we
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
any ^dti++++=any
zoos ^nns++++=zoos,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
should ^md+nec+++=should
try ^vb++++=try
bearizona ^nn+++??+=bearizona,
, ^zz++++=EXTRAWORD
a ^at++++=a
drive ^nn++++=drive
through ^in++++=through
wildlife ^nn+++??+=wildlife
park ^npl++++=park
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
30 ^cd++++=30
miles ^nns++++=miles
west ^np+pl+++=west
in ^in++++=in
williams ^np++++=williams
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
africa ^np++++=africa
is ^vbz+bez+vrb++=is
a ^at++++=a
wildlife ^nn+++??+=wildlife
park ^npl++++=park
one ^cd1++++=one
hour ^nn++++=hour
south ^np+pl+++=south
in ^in++++=in
camp ^nn++++=camp
verde ^nn+++??+=verde.
. ^zz++++=EXTRAWORD
yeah ^uh++++=yeah
you ^pp2+pp2+++=you
just ^rb+emph+++=just
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
anything ^pn++++=anything
outside ^jjb+atrb+++=outside
car ^nn++++=car,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
makes ^vbz++++=makes
you ^pp2+pp2+++=you
nervous ^jj++++=nervous
you ^pp2+pp2+++=you
can ^md+pos+++=can
take ^vb++++=take
a ^at++++=a
bus ^nn++++=bus
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
adults ^nns++++=adults
pay ^vb++++=pay
$ ^zz++++=$22
22 ^cd++++=EXTRAWORD
and ^cc++++=and
children ^nns++++=children
is ^vbz+bez+vrb++=is
$ ^zz++++=$11
11 ^cd++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome
i ^pp1a+pp1+++=i
hope ^nn++++=hope
you ^pp2+pp2+++=you
enjoy ^vb++++=enjoy
your ^pp$+pp2+++=your
day ^nn++++=day
