You ^pp2+pp2+++=You
can ^md+pos+++=can
park ^vb++++=park
along ^rp++++=along
Route ^nn++++=Route
66 ^cd++++=66
for ^in++++=for
2 ^zz++++=2
hours ^nns++++=hours
or ^cc++++=or
park ^npl++++=park
outside ^in+cmpx+++=outside
of ^in"++++=of
downtown ^rn++++=downtown
and ^cc++++=and
walk ^nn++++=walk
into ^in++++=into
downtown ^rn++++=downtown
either ^dt++++=either
west ^nr+pl+++=west
of ^in++++=of
Sitgreves ^np+++??+=Sitgreves
Street ^nn++++=Street
or ^cc++++=or
North ^np+pl+++=North
of ^in++++=of
Cherry ^nn++++=Cherry
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
a ^at++++=a
link ^nn++++=link
to ^in++++=to
the ^ati++++=the
parking ^nn++++=Parking
map ^nn++++=map:
: ^zz++++=EXTRAWORD
< ^zz++++=<<link>>
< ^zz++++=EXTRAWORD
link>> ^nn++++=EXTRAWORD
