Hello ^rb+dspt+++=Hello
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
a ^at++++=a
couple ^nn++++=couple
placed ^vwbn+++xvbn+=placed
dowtown ^vprf+++xvbn+=dowtown
The ^ati++++=The
Flagstaff ^np+++??+=Flagstaff
Chocolate ^nn+nom+++=Chocolate
Company ^nn++++=Company
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
town ^nn++++=town
shops ^nns++++=shops
or ^cc++++=or
The ^ati++++=The
Nut ^nn++++=Nut
House ^npl++++=House
on ^in++++=on
Aspen ^np+++??+=Aspen
Ave ^np+++??+=Ave.
. ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
pay ^vbi++++=pay
cash ^nn++++=cash
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
that ^cs+sub+++=that
inside ^jjb++++=inside
at ^in++++=at
the ^ati++++=the
register ^nn+nom+++=register
to ^to++++=to
pay ^vbi++++=pay
bu ^nn+++??+=bu
credit ^nn++++=credit
card ^nn++++=card
the ^ati++++=the
kiosk ^nn++++=kiosk
is ^vbz+bez+aux++=is
located ^vpsv++agls+xvbnx+=located
on ^in++++=on
the ^ati++++=the
sidewalk ^nn++++=sidewalk
near ^in+pl+++=near
the ^ati++++=the
dumpster ^nn+nom+++=dumpster
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=East
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
building ^nn++++=building.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=Your
welcome ^jj+atrb+++=welcome
