Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
depends ^vbz++++=depends
on ^in++++=on
what ^wdt+who+++=what
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
interested ^vpsv++agls+xvbnx+=interested
in ^in+strn+++=in:
: ^zz++++=EXTRAWORD
history ^nn++++=history,
, ^zz++++=EXTRAWORD
museums ^nns++++=museums,
, ^zz++++=EXTRAWORD
outdoors ^nns+pl+++=outdoors,
, ^zz++++=EXTRAWORD
shopping ^nvbg+++xvbg+=shopping,
, ^zz++++=EXTRAWORD
local ^jj++++=local,
, ^zz++++=EXTRAWORD
monuments ^nns+nom+++=monuments?
? ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
long ^rb++++=long
a ^at++++=a
hike ^nn+++??+=hike
would ^md+prd+++=would
you ^pp2+pp2+++=you
be ^vb+be+aux++=be
interested ^vpsv++agls+xvbnx+=interested
in ^in+strn+++=in?
? ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
recommend ^vb+vsua+++=recommend
the ^ati++++=the
Fatman ^np++++=Fatman's
's ^$++++=EXTRAWORD
Loop ^nn++++=Loop/Elden
Lookout ^nn++++=Lookout
trails ^nns++++=trails
in ^cs+sub+++=in
that ^cs"++++=that
case ^nn++++=case.
. ^zz++++=EXTRAWORD
Beautiful ^jj+atrb+++=Beautiful
views ^nns++++=views
and ^cc++++=and
easy ^jj++++=easy
to ^in+jcmp+++=to
moderate ^jj++++=moderate.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
of ^in++++=of
year ^nn++++=year,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
these ^dt+dem+++=these
hikes ^nns+++??+=hikes
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
and ^cc++++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
still ^jj+pred+++=still
lovely ^jj++++=lovely.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
can ^md+pos+++=can
get ^vb++++=get
pretty ^rb++++=pretty
cold ^jj++++=cold
in ^in++++=in
the ^ati++++=the
mornings ^nns++++=mornings,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
can ^md+pos+++=can
be ^vb+be+vrb++=be
nice ^jj+pred+++=nice
for ^in++++=for
a ^at++++=a
good ^jj+atrb+++=good
midday ^nn++++=midday
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
surrounding ^jj+atrb+++=surrounding
area ^nn++++=area.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome!
! ^zz++++=EXTRAWORD
