for ^in++++=for
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
tips ^nns++++=tips
I ^pp1a+pp1+++=I
would ^md+prd+++=would
recommend ^vb+vsua+++=recommend
getting ^jj+++xvbg+=getting
there ^rn+pl+++=there
before ^cs+sub+++=before
9am ^cd++++=9am
and ^cc++++=and
taking ^vbg+++xvbg+=taking
the ^ati++++=the
shuttle ^nn++++=shuttle
buses ^nns++++=buses
to ^to++++=to
get ^vbi++++=get
around ^rp++++=around.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah
every ^at++++=every
restaurant ^nn+nom+++=restaurant
downtown ^rn++++=downtown
will ^md+prd+++=will
have ^vb+hv+vrb++=have
vegetarian ^nn++++=vegetarian
options ^nns+nom+++=options
some ^dti++++=some
good ^jj+atrb+++=good
one ^cd++++=one
that ^cs+sub+++=that
specialize ^vb++++=specialize
in ^in++++=in
vegetarian ^nn++++=vegetarian
dishes ^nns++++=dishes
are ^vb+ber+vrb++=are
wyld ^np++++=Wyld
ass ^nn++++=Ass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
macy ^np++++=Macy's.
's. ^nn+++??+=EXTRAWORD
your ^pp$+pp2+++=Your
welcome ^nn++++=Welcome
