How ^wrb+who+++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
the ^ati++++=the
museum ^nn++++=museum
of ^in++++=of
Northernaz ^np+++??+=NorthernAZ
is ^vbz+bez+vrb++=is
3 ^zz++++=3
miles ^nns++++=miles
north ^np+pl+++=north
of ^in++++=of
downtown ^rn++++=downtown
and ^cc++++=and
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
worth ^in++++=worth
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
exhibits ^nns++++=exhibits
on ^in++++=on
the ^ati++++=the
native ^jj+atrb+++=native
cultures ^nns++++=cultures
of ^in++++=of
our ^pp$+pp1+++=our
region ^nn++++=region
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
geology ^nn++++=geology
and ^cc++++=and
paleontology ^nn+++??+=paleontology
of ^in++++=of
our ^pp$+pp1+++=our
region ^nn++++=region.
. ^zz++++=EXTRAWORD
yes ^uh++++=yes
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
interesting ^jj++++=interesting
and ^cc++++=and
fun ^nn++++=fun
to ^in++++=to
work ^nn++++=work
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
sedona ^nn+++??+=sedona
also ^rb++++=also
deserves ^vbz++++=deserves
a ^at++++=a
visit ^nn++++=visit.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
the ^ati++++=the
red ^jj+atrb+++=red
rocks ^nns++++=rocks
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anyone ^pn++++=anyone
would ^md+prd+++=would
agree ^vb+vpub+++=agree
that ^tht+vcmp+++=that
the ^ati++++=the
arts ^nns++++=arts
culture ^nn++++=culture
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
unique ^jj++++=unique.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
park ^vb++++=park
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=east
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
, ^zz++++=,
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
pay ^vb++++=pay
$ ^zz++++=$1/hour.
1 ^zz++++=EXTRAWORD
the ^ati++++=the
west ^np+pl+++=west
lot ^nn++++=lot
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
15 ^cd++++=15
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
no ^at++++=no
the ^ati++++=the
museum ^nn++++=museum
is ^vbz+bez+vrb++=is
on ^in++++=on
highway ^nn++++=highway
180 ^cd++++=180,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
you ^pp2+pp2+++=you
will ^md+prd+++=will
take ^vb++++=take
a ^at++++=a
left ^nn++++=left
on ^in++++=on
route ^nn++++=route
66 ^cd++++=66,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
you ^pp2+pp2+++=you
take ^vb++++=take
a ^at++++=a
right ^nn++++=right
on ^in++++=on
humphreys ^vbz+++??+=humphreys
street ^npl++++=street
and ^cc+cls+++=and
when ^wrb+who+++=when
humphreys ^nns+++??+=humphreys
ends ^nns++++=ends
at ^rb++++=at
highway ^nn++++=highway
180 ^cd++++=180
you ^pp2+pp2+++=you
make ^vb++++=make
a ^at++++=a
left ^nn+++xvbn+=left
again ^rb+tm+++=again
and ^cc+phrs+++=and
then ^rn+tm+++=then
you ^pp2+pp2+++=you
just ^rb+emph+++=just
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
follow ^vb+vprv+++=follow
the ^ati++++=the
signs ^nns++++=signs.
. ^zz++++=EXTRAWORD
the ^ati++++=the
adults ^nns++++=adults
admission ^nn++++=admission
is ^vbz+bez+vrb++=is
$ ^zz++++=$12,
12 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
seniors ^nns++++=seniors
or ^cc++++=or
military ^jj++++=military
are ^vb+ber+vrb++=are
$ ^zz++++=$10,
10 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
children ^nns++++=children
are ^vb+ber+vrb++=are
$ ^zz++++=$8.
8 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
