Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
limited ^vprf+++xvbnx+=limited
parking ^nvbg+++xvbg+=parking,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
parking ^jj+atrb++xvbg+=parking
lot ^nn++++=lot
that ^tht+rel+subj++=that
allows ^vbz++++=allows
you ^pp2+pp2+++=you
accommodate ^nn+nom+++=accommodate
rvs ^nns+++??+=rvs.
. ^zz++++=EXTRAWORD
this ^dt+dem+++=this
season ^nn++++=season,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
any ^dti++++=any
trouble ^nn++++=trouble
finding ^vwbg+++xvbg+=finding
rv ^nn+++??+=rv
parking ^vwbg+++xvbg+=parking.
. ^zz++++=EXTRAWORD
parking ^nvbg+++xvbg+=parking
is ^vbz+bez+vrb++=is
free ^jj+pred+++=free,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
one ^cd1++++=one
is ^vbz+bez+vrb++=is
a ^at++++=a
national ^jj+atrb+++=national
monument ^nn+nom+++=monument
so ^ql++++=so
you ^pp2+pp2+++=you
have ^md"++pmd"++=have
to ^md+nec+++=to
pay ^vb++++=pay
the ^ati++++=the
entrance ^nn+nom+++=entrance
fee ^nn++++=fee.
. ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
a ^at++++=a
national ^jj+atrb+++=national
parks ^nns++++=parks
pass ^vb++++=pass?
? ^zz++++=EXTRAWORD
Perfect ^jj++++=Perfect!
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
will ^md+prd+++=will
cover ^vb++++=cover
everyone ^pn++++=everyone
in ^in++++=in
the ^ati++++=the
vehicle ^nn++++=vehicle,
, ^zz++++=EXTRAWORD
so ^ql++++=so
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
pay ^vb++++=pay
the ^ati++++=the
entrance ^nn+nom+++=entrance
fee ^nn++++=fee.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=You're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
