how ^wrb+who+++=how
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
yeah ^uh++++=yeah
sedona ^nn+++??+=sedona
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
beautiful ^jj+pred+++=beautiful
and ^cc++++=and
a ^at++++=a
day ^nn++++=day
trip ^nn++++=trip
from ^in++++=from
flagstaff ^nn+++??+=flagstaff
that ^tht+rel+obj++=that
i ^pp1a+pp1+++=i
believe ^vb+vprv+tht0++=believe
you ^pp2+pp2+++=you
would ^md+prd+++=would
enjoy ^vb++++=enjoy.
. ^zz++++=EXTRAWORD
no ^at++++=no
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
national ^jj+atrb+++=national
forest ^nn++++=forest
and ^cc++++=and
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
some ^dti++++=some
state ^nn++++=state
parks ^nns++++=parks
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
national ^jj+atrb+++=national
park ^npl++++=park
pass ^vb++++=pass
will ^md+prd+++=will
cover ^vb++++=cover
parking ^vwbg+++xvbg+=parking
in ^in++++=in
the ^ati++++=the
national ^jj+atrb+++=national
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
Oakc ^np+++??+=OakC
canyon ^nn++++=canyon,
, ^zz++++=EXTRAWORD
cathedral ^nn+nom+++=cathedral
rock ^npl++++=rock,
, ^zz++++=EXTRAWORD
bell ^nn++++=bell
rock ^npl++++=rock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chimney ^nn++++=chimney
rock ^nn++++=rock
are ^vb+ber+vrb++=are
the ^ati++++=the
ones ^cd1s++++=ones
i ^pp1a+pp1+++=i
find ^vb+vprv+++=find
the ^ati++++=the
most ^ql+emph+++=most
iconic ^jj++++=iconic.
. ^zz++++=EXTRAWORD
