uhhhhh ^nn+++??+=uhhhhh
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
e ^zz++++=e.
. ^zz++++=EXTRAWORD
rte ^nn+++??+=rte.
. ^zz++++=EXTRAWORD
66 ^cd++++=66)
) ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
have ^vb+hv+vrb++=have
a ^at++++=a
city ^nn++++=city
map ^vb++++=map.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
an ^at++++=an
enlarged ^jj+atrb++xvbn+=enlarged
section ^nn+nom+++=section
that ^tht+rel+subj++=that
shows ^vbz+vprv+tht0++=shows
you ^pp2+pp2+++=you
downtown ^rn++++=downtown
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
most ^ap+emph+++=most
tourist ^nn+nom+++=tourist
places ^nns++++=places
to ^in++++=to
visit ^nn++++=visit.
. ^zz++++=EXTRAWORD
