we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
the ^ati++++=the
Sweetshp ^np+++??+=SweetShp
on ^in++++=on
aspen ^vbd+++xvbn+=aspen
ave ^nn+++??+=ave.
. ^zz++++=EXTRAWORD
nearby ^jjb++++=nearby
you ^pp2+pp2+++=you
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
leave ^vb++++=leave
it ^pp3+it+++=it
in ^in++++=in
15 ^cd++++=15
minute ^nn++++=minute
parking ^vwbg+++xvbg+=parking
for ^in++++=for
more ^ql++++=more
than ^cs+sub+++=than
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
amtrak ^nn+++??+=amtrak
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
building ^jj+++xvbg+=building
has ^vbz+hvz+aux++=has
a ^at++++=a
paid ^vbd+++xvbn+=paid
parking ^nvbg+++xvbg+=parking
lot ^nn++++=lot
you ^pp2+pp2+++=you
could ^md+pos+++=could
use ^vb++++=use.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
pay ^vb++++=pay
$ ^zz++++=$1/hour,
1 ^zz++++=EXTRAWORD
the ^ati++++=the
kiosk ^nn++++=kiosk
is ^vbz+bez+vrb++=is
by ^in++++=by
the ^ati++++=the
dumpster ^nn+nom+++=dumpster
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
green ^nn++++=green.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
pay ^nn++++=pay
using ^vwbg+++xvbg+=using
your ^pp$+pp2+++=your
credit ^nn++++=credit
card ^nn++++=card
and ^cc++++=and
you ^pp2+pp2+++=you
have ^md"++pmd"++=have
to ^md+nec+++=to
enter ^vb++++=enter
your ^pp$+pp2+++=your
license ^nn+++??+=license
plate ^nn++++=plate
# ^zz++++=#
you ^pp2+pp2+++=you
can ^md+pos+++=can
visit ^vb++++=visit
the ^ati++++=the
park ^nn++++=park
flag ^nn++++=flag
office ^nn++++=office
on ^in++++=on
beaver ^jjr++++=beaver
street ^npl++++=street
( ^zz++++=(above
above ^in+pl+++=EXTRAWORD
aspen ^vb+++xvbn+=aspen)
) ^zz++++=EXTRAWORD
and ^cc++++=and
pay ^nn++++=pay
cash ^nn++++=cash.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
probably ^rb++++=probably
be ^vb+be+vrb++=be
fine ^jj+pred+++=fine
to ^to++++=to
walk ^vbi++++=walk
there ^rn+pl+++=there
while ^cs+sub+++=while
in ^in++++=in
15 ^cd++++=15
minute ^nn++++=minute
parking ^nn++++=parking.
. ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
close ^rb++++=close
soon ^rb+tm+++=soon.
. ^zz++++=EXTRAWORD
