certainly ^rb+cnj+++=certainly,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
would ^md+prd+++=would
still ^rb++splt++=still
visit ^vb++++=visit
typically ^rb++++=typically
it ^pp3+it+++=it
does ^vbz+doz+vrb++=doesn't
n't ^xnot++not++0=EXTRAWORD
rain ^nn++++=rain
all ^abn++++=all
day ^nn++++=day
it ^pp3+it+++=it
will ^md+prd+++=will
just ^rb+emph+++=just
be ^vb+be+vrb++=be
on ^in++++=on
and ^cc++++=and
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
clouds ^nns++++=clouds
after ^cs+sub+++=after
a ^at++++=a
thunderstorm ^nn++++=thunderstorm
make ^vb++++=make
the ^ati++++=the
best ^jjt+atrb+++=best
sunsets ^nns++++=sunsets
in ^in++++=in
my ^pp$+pp1+++=my
opinion ^nn++++=opinion
if ^cs+cnd+++=if
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
stay ^vb++++=stay
there ^rn+pl+++=there
until ^in++++=until
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
