Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
we ^pp1a+pp1+++=we
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
municipally ^rb++splt++=municipally
run ^vprf+++xvbnx+=run
transport ^nn++++=transport
to ^in++++=to
these ^dt+dem+++=these
places ^nns++++=places.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
use ^vb++++=use
arizona ^np++++=arizona
shuttle ^nn++++=shuttle
to ^to++++=to
reach ^vbi++++=reach
sedona ^nn+++??+=sedona
and ^cc++++=and
Grandc ^np+++??+=GrandC
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
privately ^rb++++=privately
run ^vb+++xvbn+=run
shuttle ^nn++++=shuttle
service ^nn++++=service.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
would ^md+prd+++=would
call ^vb++++=call
( ^zz++++=(800)
800 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
888 ^cd++++=888-2749
- ^zz++++=EXTRAWORD
2749 ^cd++++=EXTRAWORD
to ^to++++=to
make ^vb++++=make
your ^pp$+pp2+++=your
reservations ^nns+nom+++=reservations.
. ^zz++++=EXTRAWORD
