How ^wrb+who+++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help?
? ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
a ^rb++++=a
little ^rb"++++=little
more ^rbr++++=more
about ^in++++=about
your ^pp$+pp2+++=your
interests ^nns++++=interests.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
enjoy ^vb++++=enjoy
craft ^nn++++=craft
beer ^nn++++=beer?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
recommend ^vb+vsua+++=recommend
getting ^vbg+++xvbg+=getting
the ^ati++++=the
Ale ^nn++++=Ale
Trail ^nn++++=Trail
sheet ^nn++++=sheet
from ^in++++=from
the ^ati++++=the
Visitor ^np++++=Visitor's
's ^$++++=EXTRAWORD
Center ^np+++??+=Center.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
shows ^vbz+vprv+++=shows
the ^ati++++=the
9 ^zz++++=9
craft ^nn++++=craft
breweries ^nns+nom+++=breweries,
, ^zz++++=EXTRAWORD
most ^rbt+emph+++=most
in ^in++++=in
walking ^xvbg+++xvbg+=walking
distance ^nn+nom+++=distance
of ^in++++=of
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
get ^vb++++=get
stamps ^nns++++=stamps
from ^in++++=from
all ^abn++++=all
( ^zz++++=(no
no ^at++++=EXTRAWORD
purchase ^vb++++=purchase
necessary ^jj++++=necessary)
) ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
a ^at++++=a
free ^jj+atrb+++=free
souvenir ^nn+++??+=souvenir
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
musical ^jj+atrb+++=musical
performance ^nn+nom+++=performance
starting ^vwbg+++xvbg+=starting
at ^in++++=at
6 ^zz++++=6
pm ^nn+++??+=pm
at ^in++++=at
the ^ati++++=the
Museum ^nn++++=Museum
of ^in++++=of
Northern ^np++++=Northern
Arizona ^np++++=Arizona
this ^dt+dem+++=this
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
sure ^jj++++=sure
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
male ^nn++++=male
and ^cc++++=and
female ^jj+atrb+++=female
performer ^nn+nom+++=performer,
, ^zz++++=EXTRAWORD
probably ^rb++++=probably
singer ^nn++++=singer-songwriter
- ^zz++++=EXTRAWORD
songwriter ^jjr+atrb+++=EXTRAWORD
combo ^nn+++??+=combo.
. ^zz++++=EXTRAWORD
The ^ati++++=The
downtown ^rn++++=downtown
area ^nn++++=area
is ^vbz+bez+vrb++=is
safe ^jj+pred+++=safe
to ^to+jcmp+++=to
walk ^vbi++++=walk
around ^rp++++=around.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
breweries ^nns+nom+++=breweries
close ^rb++++=close
on ^in++++=on
the ^ati++++=the
earlier ^rbr+tm+++=earlier
side ^nn++++=side
anyway ^rb++++=anyway
( ^zz++++=(before
before ^cs+sub+++=EXTRAWORD
midnight ^nn++++=midnight)
) ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
about ^in++++=about
2 ^zz++++=2
miles ^nns++++=miles
from ^in++++=from
the ^ati++++=the
Visitor ^np++++=Visitor's
's ^$++++=EXTRAWORD
Center ^np+++??+=Center
on ^rp++++=on
Ft ^nnu++++=Ft.
. ^zz++++=EXTRAWORD
Valley ^nn++++=Valley
Rd ^npl++++=Rd.
. ^zz++++=EXTRAWORD
At ^in++++=At
Humphreys ^np+++??+=Humphreys
St ^npt++++=St.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
see ^vb+vprv+++=see
signs ^nns++++=signs
to ^to++++=to
for ^in++++=for
the ^ati++++=the
museum ^nn++++=Museum
of ^in++++=of
northern ^np++++=Northern
arizona ^np++++=Arizona
