If ^cs+cnd+++=If
you ^pp2+pp2+++=you
only ^rb+down+++=only
have ^vb+hv+vrb++=have
one ^cd1++++=one
hour ^nn++++=hour
in ^in++++=in
Flagstaff ^np+++??+=Flagstaff
I ^pp1a+pp1+++=I
would ^md+prd+++=would
explore ^vb++++=explore
the ^ati++++=the
historic ^jj++++=historic
downtown ^rn++++=downtown
area ^nn++++=area
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
many ^ap++++=many
shops ^nns++++=shops,
, ^zz++++=EXTRAWORD
local ^jj+atrb+++=local
restaurants ^nns+nom+++=restaurants
and ^cc++++=and
art ^nn++++=art
galleries ^nns+nom+++=galleries
in ^in++++=in
the ^ati++++=the
area ^nn++++=area
and ^cc++++=and
this ^dt+pdem+++=this
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
good ^nn++++=good
feel ^vb+vprv+++=feel
for ^in+ppvb+++=for
the ^ati++++=the
community ^nn+nom+++=community.
. ^zz++++=EXTRAWORD
A ^at++++=A
couple ^nn++++=couple
highlights ^nns++++=highlights
are ^vb+ber+vrb++=are
the ^ati++++=the
historic ^jj++++=historic
two ^cd++++=two
spot ^nn++++=spot
train ^nn++++=train,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Hotel ^nn++++=Hotel
Monte ^np++++=Monte
Vista ^np++++=Vista,
, ^zz++++=EXTRAWORD
The ^ati++++=The
Weatherford ^np+++??+=Weatherford
Hotel ^nn++++=Hotel
and ^cc++++=and
the ^ati++++=the
Nativity ^np+nom++??+=Nativity
Of ^in++++=of
The ^ati++++=the
Blessed ^jj+atrb+++=Blessed
Virgin ^jjb++++=Virgin
Mary ^np++++=Mary
Church ^nn++++=Church.
 ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=your
Welcome ^jj+atrb+++=welcome
