Yes ^uh++++=Yes
but ^cc++++=but
by ^in++++=by
permit ^vb++++=permit
only ^rb+down+++=only
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
looking ^vbg+++xvbgx+=looking
to ^to+vcmp+++=to
do ^vbi++++=do
a ^at++++=a
private ^jj+atrb+++=private
trip ^nn++++=trip
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
lottery ^nn+nom+++=lottery
system ^nn++++=system
or ^cc+cls+++=or
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
join ^vbi++++=join
a ^at++++=a
commercial ^jj+atrb+++=commercial
trip ^nn++++=trip
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
many ^ap++++=many
options ^nns+nom+++=options.
. ^zz++++=EXTRAWORD
For ^in++++=For
outfitters ^nns+nom+++=outfitters
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
Arizona ^np++++=Arizona
Raft ^np+++??+=Raft
Adventures ^nns++++=Adventures,
, ^zz++++=EXTRAWORD
Colorado ^np++++=Colorado
River ^nn++++=River
Discovery ^nn+nom+++=Discovery,
, ^zz++++=EXTRAWORD
Canyoeers ^nns+nom++??+=Canyoeers,
, ^zz++++=EXTRAWORD
Oars ^np+++??+=Oars
and ^cc++++=and
Moenkopi ^np+++??+=Moenkopi
River ^nn++++=river
Works ^nn++++=works
To ^in++++=to
Name ^nn++++=name
A ^ap++++=a
Few ^ap"++++=few.
 ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=your
Wecome ^nn++++=wecome
