yes ^uh++++=yes
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
two ^cd++++=two
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
International ^jj+atrb+++=International
Hostel ^nn++++=Hostel
and ^cc++++=and
motel ^nn+++??+=motel
Debeau ^np+++??+=DeBeau
They ^pp3a+pp3+++=They
can ^md+pos+++=can
fill ^vb++++=fill
up ^rp++++=up
especially ^rb++++=especially
on ^in++++=on
weekends ^nns++++=weekends
but ^cc++++=but
usually ^rb+down+++=usually
you ^pp2+pp2+++=you
can ^md+pos+++=can
find ^vb+vprv+++=find
a ^at++++=a
room ^nn++++=room
same ^ap++++=same
day ^nn++++=day.
. ^zz++++=EXTRAWORD
