yeah ^uh++++=yeah
Thorpe ^np++++=Thorpe
Park ^nn++++=Park
is ^vbz+bez+vrb++=is
close ^rb++++=close
by ^in++++=by
and ^cc++++=and
have ^vb+hv+vrb++=have
a ^at++++=a
great ^jj+atrb+++=great
playground ^nn++++=playground
Lumberyard ^np+++??+=Lumberyard
Brewery ^nn+nom+++=Brewery,
, ^zz++++=EXTRAWORD
Altitudes ^nns++++=Altitudes
Bar ^nn++++=Bar
and ^cc++++=and
Grill ^nn++++=Grill,
, ^zz++++=EXTRAWORD
Toasted ^np+++??+=Toasted
Owl ^nn++++=Owl,
, ^zz++++=EXTRAWORD
big ^jj+atrb+++=big
Foot ^nn++++=Foot
Bbq ^np+++??+=BBQ,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Pie ^nn++++=Pie
And ^cc++++=and
The ^ati++++=The
Place ^nn++++=Place
Are ^vb+ber+vrb++=are
Good ^jj+pred+++=good
For ^in++++=for
Kids ^nns++++=kids.
 ^zz++++=EXTRAWORD
