Flagstaff ^np+++??+=Flagstaff
Extreme ^jj+atrb+++=Extreme
Adventure ^nn++++=Adventure
Course ^nn++++=Course
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
good ^jj+atrb+++=good
option ^nn++++=option
or ^cc++++=or
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
some ^dti++++=some
rock ^nn++++=rock
climbing ^vwbg+++xvbg+=climbing
area ^nn++++=area
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
pit ^nn++++=pit
and ^cc++++=and
and ^cc++++=and
priest ^nn++++=priest
draw ^nn++++=draw
or ^cc++++=or
many ^ap++++=many
mountain ^nn++++=mountain
biking ^vwbg+++xvbg+=biking
trail ^nn++++=trail
such ^abl++++=such
as ^cs+sub+++=as
Shultz ^np+++??+=Shultz
creek ^nn++++=creek
or ^cc++++=or
the ^ati++++=the
upper ^jjb+atrb+++=upper
and ^cc+phrs+++=and
lower ^jjr++++=lower
Oldham ^np++++=Oldham
trails ^nns++++=trails.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
kids ^nns++++=kids
course ^rb++++=course
for ^in++++=for
smaller ^jjr+atrb+++=smaller
kids ^nns++++=kids
or ^cc++++=or
they ^pp3a+pp3+++=they
must ^md+nec+++=must
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
reach ^vb++++=reach
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
their ^pp$+pp3+++=their
palms ^nns++++=palms
to ^in++++=to
a ^at++++=a
height ^nn++++=height
of ^in++++=of
5 ^zz++++=5
11 ^cd++++=11
( ^zz++++=(180
180 ^cd++++=EXTRAWORD
cm ^nnu++++=cm)
) ^zz++++=EXTRAWORD
while ^cs+sub+++=while
keeping ^vbg+++xvbg+=keeping
their ^pp$+pp3+++=their
feet ^nns++++=feet
flat ^nn++++=flat
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground
to ^to++++=to
do ^vbi++++=do
the ^ati++++=the
adult ^jj+atrb+++=adult
course ^nn++++=course.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
welcome ^nn++++=welcome
