Hi ^uh++++=Hi
The ^ati++++=The
Grand ^jj+atrb+++=Grand
Canyon ^nn++++=Canyon
Railway ^nn++++=Railway
departs ^vbz++++=departs
from ^in++++=from
Williams ^np++++=Williams
each ^dt++++=each
morning ^nn++++=morning
around ^in++++=around
9am ^cd++++=9am
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
about ^in++++=about
a ^at++++=a
three ^cd++++=three
hour ^nn++++=hour
ride ^nn++++=ride
to ^in++++=to
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Canyon ^nn++++=Canyon
where ^wrb+who+++=where
you ^pp2+pp2+++=you
get ^vb++++=get
off ^rb+phrv+++=off
the ^ati++++=the
train ^nn++++=train
and ^cc++++=and
have ^vb+hv+vrb++=have
about ^in++++=about
4 ^zz++++=4
hours ^nns++++=hours
to ^to++++=to
explore ^vbi++++=explore
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Canyon ^nn++++=Canyon
on ^in++++=on
your ^pp$+pp2+++=your
own ^ap++++=own
or ^cc++++=or
you ^pp2+pp2+++=you
can ^md+pos+++=can
add ^vb+vpub+++=add
a ^at++++=a
bus ^nn++++=bus
tour ^nn++++=tour
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
canyon ^nn++++=canyon
during ^in++++=during
this ^dt+dem+++=this
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
you ^pp2+pp2+++=you
will ^md+prd+++=will
get ^vb++++=get
back ^rb+phrv+++=back
on ^in++++=on
the ^ati++++=the
train ^nn++++=train
and ^cc++++=and
arrive ^vb++++=arrive
back ^jjb++++=back
in ^in++++=in
williams ^np++++=Williams
at ^rb++++=at
about ^in++++=about
5:30pm ^cd++++=5:30pm.
. ^zz++++=EXTRAWORD
