Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you
with ^in+strn+++=with?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
still ^rb++splt++=still
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
recommend ^vb+vsua+++=recommend
going ^vbg+++xvbg+=going
to ^in++++=to
Mather ^np++++=Mather
Point ^nn++++=Point
to ^to++++=to
see ^vbi+vprv+++=see
how ^wrb+who+whcl++=how
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
first ^rb++++=first.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
completely ^rb+amp+splt++=completely
fenced ^vpsv++agls+xvbnx+=fenced
in ^in++++=in
and ^cc++++=and
safe ^jj++++=safe,
, ^zz++++=EXTRAWORD
so ^ql++++=so
you ^pp2+pp2+++=you
can ^md+pos+++=can
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
comfortable ^jj++++=comfortable
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
at ^in++++=at
that ^dt+dem+++=that
viewpoint ^nn++++=viewpoint.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=You're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome!
! ^zz++++=EXTRAWORD
