Diablo ^np+++??+=Diablo
Burger ^np+++??+=Burger
is ^vbz+bez+vrb++=is
popular ^jj+pred+++=popular
on ^in++++=on
Heritage ^nn+nom+++=Heritage
Square ^jj++++=Square.
. ^zz++++=EXTRAWORD
Criollo ^np+++??+=Criollo
Latin ^jj+atrb+++=Latin
Kitchen ^nn++++=Kitchen
on ^in++++=on
San ^np++++=San
Francisco ^np++++=Francisco
and ^cc++++=and
Martanne ^np++++=Martanne's
's ^vbz+bez+vrb++0=EXTRAWORD
on ^in++++=on
Rte ^np+++??+=Rte.
. ^zz++++=EXTRAWORD
66 ^cd++++=66
for ^in++++=for
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
Indian ^nn++++=Indian
Tacos ^np+++??+=Tacos
are ^vb+ber+vrb++=are
a ^at++++=a
regional ^jj+atrb+++=regional
specialty ^nn+++??+=specialty,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
those ^dt+pdem+++=those
are ^vb+ber+vrb++=are
closer ^rbr++++=closer
to ^in++++=to
Cameron ^np++++=Cameron
Near ^in+pl+++=near
The ^ati++++=the
Grand ^jj+atrb+++=Grand
Canyon ^np++++=Canyon.
 ^zz++++=EXTRAWORD
Cameron ^np++++=Cameron
Trading ^nn++++=Trading
Post ^nn++++=Post
Restaurant ^nn+nom+++=Restaurant
