Hello ^rb+dspt+++=Hello
How ^wrb+who+++=How
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
the ^ati++++=the
garden ^nn++++=garden
thrift ^nn++++=thrift
store ^nn++++=store
just ^rb+emph+++=just
over ^in++++=over
the ^ati++++=the
rail ^nn++++=rail
road ^npl++++=road
tracks ^nns++++=tracks
on ^in++++=on
phoenix ^np++++=phoenix
ave ^nn+++??+=ave
the ^ati++++=the
others ^aps++++=others
are ^vb+ber+vrb++=are
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=east
of ^in++++=of
town ^nn++++=town.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
a ^at++++=a
goodwill ^nn++++=goodwill
and ^cc++++=and
saveers ^nns+nom+++=saveers
about ^in++++=about
5 ^zz++++=5
miles ^nns++++=miles
down ^in++++=down
route ^nn++++=route
66 ^cd++++=66
by ^in++++=by
the ^ati++++=the
flagstaff ^nn+++??+=flagstaff
mall ^np++++=mall
on ^in++++=on
4th ^cd++++=4th
street ^nn++++=street
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
about ^in++++=about
three ^cd++++=three
miles ^nns++++=miles
down ^in++++=down
route ^nn++++=route
66 ^cd++++=66
i ^pp1a+pp1+++=i'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
couple ^nn++++=couple
more ^rbr++++=more
sharon ^jj+atrb+++=sharon's
's ^vbz+bez+vrb++0=EXTRAWORD
attic ^nn++++=attic
and ^cc++++=and
habitat ^nn++++=habitat
for ^in++++=for
humanity ^nn+nom+++=humanity
restore ^vb++++=restore
