how ^wrb+who+++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
alright ^rb+dspt++??+=alright,
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
a ^rb++++=a
little ^rb"++++=little
more ^rbr++++=more
about ^in++++=about
your ^pp$+pp2+++=your
interests ^nns++++=interests.
. ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
enjoy ^vb++++=enjoy
craft ^nn++++=craft
beer ^nn++++=beer?
? ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
get ^vb++++=get
the ^ati++++=the
ale ^nn++++=ale
trail ^nn++++=trail
sheet ^nn++++=sheet
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
at ^in++++=at
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
that ^dt+pdem+++=that
shows ^vbz+vprv+tht0++=shows
you ^pp2+pp2+++=you
the ^ati++++=the
9 ^zz++++=9
breweries ^nns+nom+++=breweries,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
nearby ^jjb++++=nearby
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
get ^vb++++=get
stamps ^nns++++=stamps
from ^in++++=from
all ^abn++++=all
( ^zz++++=(you
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
need ^vb++++=need
to ^to+vcmp+++=to
purchase ^vb++++=purchase
anything ^pn++++=anything)
) ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
a ^at++++=a
souvenir ^nn+++??+=souvenir
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
also ^rb++++=also
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
live ^jj+atrb+++=live
music ^nn++++=music
starting ^vwbg+++xvbg+=starting
at ^rb++++=at
6 ^zz++++=6
pm ^nn+++??+=pm
at ^rb++++=at
the ^ati++++=the
museum ^nn++++=museum
of ^in++++=of
Northernaz ^np+++??+=NorthernAZ
later ^rbr+tm+++=later
this ^dt+dem+++=this
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
sure ^jj++++=sure
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
male ^jj+atrb+++=male
and ^cc+phrs+++=and
female ^jj+atrb+++=female
performer ^nn+nom+++=performer,
, ^zz++++=EXTRAWORD
probably ^rb++++=probably
singer ^nn++++=singer-songwriter
- ^zz++++=EXTRAWORD
songwriter ^jjr+atrb+++=EXTRAWORD
combo ^nn+++??+=combo.
. ^zz++++=EXTRAWORD
downtown ^rn++++=downtown
is ^vbz+bez+vrb++=is
safe ^jj+pred+++=safe
to ^to+jcmp+++=to
walk ^vbi++++=walk
around ^rb++++=around.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
believe ^vb+vprv+++=believe
most ^ql+emph+++=most
breweries ^nns+nom+++=breweries
close ^jj++++=close
on ^in++++=on
the ^ati++++=the
earlier ^jjr+atrb+++=earlier
side ^nn++++=side
anyway ^rb++++=anyway
( ^zz++++=(before
before ^cs+sub+++=EXTRAWORD
midnight ^nn++++=midnight)
) ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
about ^in++++=about
2 ^zz++++=2
miles ^nns++++=miles
from ^in++++=from
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
on ^rp++++=on
ft ^nnu++++=ft.
. ^zz++++=EXTRAWORD
valley ^nn++++=valley
rd ^npl++++=rd.
. ^zz++++=EXTRAWORD
at ^rb++++=at
humphreys ^nns+++??+=humphreys
st ^npt++++=st.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
see ^vb+vprv+++=see
signs ^nns++++=signs
of ^in++++=of
northernaz ^np++++=NorthernAZ
