Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
on ^in++++=on
the ^ati++++=the
amtrak ^nn+++??+=amtrak
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
pay ^vb++++=pay
$ ^zz++++=$1
1 ^zz++++=EXTRAWORD
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
the ^ati++++=the
kiosk ^nn++++=kiosk
to ^to++++=to
pay ^vbi++++=pay
is ^vbz+bez+vrb++=is
near ^in+pl+++=near
the ^ati++++=the
dumpster ^nn+nom+++=dumpster
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
green ^nn++++=green.
. ^zz++++=EXTRAWORD
