Uhhh ^np+++??+=Uhhh
let ^vbd+++xvbn+=let
me ^pp1o+pp1+++=me
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
brightside ^np++++=brightside
bookstore ^nn+++??+=bookstore
is ^vbz+bez+vrb++=is
about ^in++++=about
one ^cd1++++=one
block ^nn++++=block
north ^nr+pl+++=north
of ^in++++=of
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
on ^in++++=on
san ^np++++=san
francisco ^np++++=francisco
st ^npt++++=st
and ^cc++++=and
starlight ^nn+++??+=starlight
books ^nns++++=books
is ^vbz+bez+vrb++=is
roughly ^rb+down+++=roughly
the ^ati++++=the
same ^ap++++=same
distance ^nn+nom+++=distance
on ^in++++=on
leroux ^nn++++=leroux
st ^npt++++=st.
. ^zz++++=EXTRAWORD
