Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
you ^pp2+pp2+++=you
must ^md+nec+++=must
go ^vb++++=go
to ^in++++=to
williams ^np++++=williams
but ^cc++++=but
you ^pp2+pp2+++=you
can ^md+pos+++=can
take ^vb++++=take
arizona ^np++++=arizona
shuttle ^nn++++=shuttle
to ^to++++=to
get ^vbi++++=get
there ^rn+pl+++=there
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
need ^vb++++=need
transportation ^nn+nom+++=transportation.
. ^zz++++=EXTRAWORD
