hello ^rb+dspt+++=hello
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
anything ^pn++++=anything
else ^rb+cnj+++=else
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do
for ^in++++=for
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
a ^at++++=a
warner ^np++++=warner
bros ^nns+++??+=bros.
. ^zz++++=EXTRAWORD
studio ^np++++=studio
tour ^nn++++=tour
that ^tht+rel+subj++=that
includes ^vb++++=includes
that ^dt+dem+++=that
film ^nn++++=film
is ^vbz+bez+aux++=is
offered ^vpsv++agls+xvbnx+=offered
on ^in++++=on
thursday ^nr++++=thursday-sunday
- ^zz++++=EXTRAWORD
sunday ^nr++++=EXTRAWORD
only ^rb+down+++=only
in ^in++++=in
burbank ^nn+++??+=burbank,
, ^zz++++=EXTRAWORD
ca ^np++++=ca.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
book ^vb++++=book
the ^ati++++=the
tickets ^nns++++=tickets
online ^nn++++=online.
. ^zz++++=EXTRAWORD
