unfortunately ^rb+cnj+++=unfortunately,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
too ^ql++++=too
much ^ap++++=much.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
Lakem ^np+++??+=LakeM
but ^cc++++=but
you ^pp2+pp2+++=you
either ^dtx++++=either
need ^nn++++=need
you ^pp2+pp2+++=you
own ^ap++++=own
boat ^nn++++=boat
or ^cc++++=or
to ^in++++=to
transport ^nn++++=transport
a ^at++++=a
kayak ^nn+++??+=kayak
or ^cc++++=or
canoe ^nn+++??+=canoe
to ^in++++=to
the ^ati++++=the
lake ^npl++++=lake
yourself ^ppl+pp2+++=yourself
when ^wrb+who+++=when
you ^pp2+pp2+++=you
rent ^nn++++=rent
one ^pn++++=one.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
