hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
what ^wdt+who+++=what
tours ^nns++++=tours
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
interested ^jj++++=interested
in ^in++++=in
doing ^xvbg+++xvbg+=doing?
? ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
have ^vb+hv+vrb++=have
options ^nns+nom+++=options
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
johnny ^np++++=johnny
anaya ^nn+++??+=anaya
is ^vbz+bez+vrb++=is
a ^at++++=a
historian ^nn++++=historian
who ^whp+rel+subj++=who
does ^vbz+doz+vrb++=does
tours ^nns++++=tours
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
specialized ^vpsv++agls+xvbnx+=specialized
. ^zz++++=.
you ^pp2+pp2+++=you
can ^md+pos+++=can
check ^vb+vprv+++=check
the ^ati++++=the
tour ^nn++++=tour
companies ^nns++++=companies
. ^zz++++=.
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
pull ^vb++++=pull
up ^rp++++=up
their ^pp$+pp3+++=their
names ^nns++++=names.
. ^zz++++=EXTRAWORD
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
all ^abn++++=all
star ^nn++++=star
grandc ^nn+++??+=grandc
tours ^nns++++=tours
and ^cc++++=and
grandc ^nn+++??+=grandc
adventures ^nns++++=adventures
are ^vb+ber+vrb++=are
both ^abx++++=both
tour ^nn++++=tour
companies ^nns++++=companies
that ^tht+rel+subj++=that
do ^vb+do+vrb++=do
tours ^nns++++=tours
of ^in++++=of
Northernaz ^np+++??+=NorthernAZ
attractions ^nns+nom+++=attractions.
. ^zz++++=EXTRAWORD
both ^abx++++=both
have ^vb+hv+vrb++=have
vans ^nns++++=vans,
, ^zz++++=EXTRAWORD
10 ^cd++++=10
passengers ^nns+nom+++=passengers
maximum ^nn++++=maximum
i ^pp1a+pp1+++=i
believe ^vb+vprv+++=believe.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=You're
are ^vb+ber+aux++=EXTRAWORD
very ^ql+amp+++=very
welcome ^vb++++=welcome.
. ^zz++++=EXTRAWORD
