Hello ^rb+dspt+++=Hello
Arizona ^np++++=Arizona
Shuttle ^nn++++=Shuttle
is ^vbz+bez+vrb++=is
$ ^zz++++=$32
32 ^cd++++=EXTRAWORD
each ^ppls++++=each
way ^nn++++=way
plus ^in++++=plus
park ^nn++++=park
entry ^nn++++=entry
for ^in++++=for
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
and ^cc++++=and
$ ^zz++++=$45
45 ^cd++++=EXTRAWORD
each ^ppls++++=each
was ^vbd+bedz+vrb++=was
for ^in++++=for
Sedona ^np+++??+=Sedona
Inspire ^vb++++=Inspire
is ^vbz+bez+vrb++=is
$ ^zz++++=$60
60 ^cd++++=EXTRAWORD
each ^ppls++++=each
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
sure ^uh++++=sure
what ^wdt+who+++=what
the ^ati++++=the
pricing ^nn++++=pricing
is ^vbz+bez+vrb++=is
for ^in++++=for
national ^jj+atrb+++=National
park ^nn++++=Park
express ^jjb++++=Express
your ^pp$+pp2+++=Your
welcome ^nn++++=Welcome.
. ^zz++++=EXTRAWORD
