hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+aux++=do
have ^vb+hv+vrb++=have
shuttles ^nns+++??+=shuttles
between ^in++++=between
these ^dt+dem+++=these
locations ^nns+nom+++=locations.
. ^zz++++=EXTRAWORD
arizona ^np++++=arizona
shuttle ^nn++++=shuttle
goes ^vbz++++=goes
to ^in++++=to
Grandc ^np+++??+=GrandC
and ^cc++++=and
sedona ^nn+++??+=sedona,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
the ^ati++++=the
national ^jj+atrb+++=national
park ^npl++++=park
express ^vb++++=express
that ^tht+vcmp+++=that
goes ^vbz++++=goes
to ^in++++=to
page ^nn++++=page
where ^wrb+who+++=where
you ^pp2+pp2+++=you
can ^md+pos+++=can
get ^vb++++=get
a ^at++++=a
tour ^nn++++=tour
of ^in++++=of
antcanyon ^nn+++??+=antcanyon
or ^cc++++=or
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
guided ^vprf+++xvbnx+=guided
tours ^nns++++=tours
from ^in++++=from
flagstaff ^nn+++??+=flagstaff
by ^in++++=by
Grandc ^np+++??+=GrandC
adventures ^nns++++=adventures.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
heard ^vbd+vprv+tht0+xvbnx+=heard
that ^tht+vcmp+++=that
inspire ^vb++++=inspire
shuttle ^nn++++=shuttle
also ^rb++++=also
does ^vbz+doz+vrb++=does
sedona ^nn+++??+=sedona
arizona ^np++++=arizona
shuttle ^nn++++=shuttle
is ^vbz+bez+vrb++=is
$ ^zz++++=$32
32 ^cd++++=EXTRAWORD
each ^dt++++=each
way ^nn++++=way
for ^in++++=for
Grandc ^np+++??+=GrandC,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
also ^rb++splt++=also
pay ^vb++++=pay
the ^ati++++=the
park ^nn++++=park
entry ^nn++++=entry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sedona ^nn+++??+=sedona
is ^vbz+bez+vrb++=is
$ ^zz++++=$45
45 ^cd++++=EXTRAWORD
each ^dt++++=each
way ^nn++++=way.
. ^zz++++=EXTRAWORD
sedona ^nn+++??+=sedona
inspire ^vb++++=inspire
is ^vbz+bez+vrb++=is
$ ^zz++++=$60
60 ^cd++++=EXTRAWORD
each ^dt++++=each
way ^nn++++=way.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
sure ^jj++++=sure
how ^wrb+who+++=how
much ^rb++++=much
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
pay ^nn++++=pay
for ^in++++=for
the ^ati++++=the
national ^jj+atrb+++=national
park ^npl++++=park
express ^jjb++++=express
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome.
. ^zz++++=EXTRAWORD
