What ^wdt+who+++=What
type ^nn++++=type
of ^in++++=of
Places ^nns++++=Places
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
looking ^vbg+++xvbg+=looking
for ^in++++=for
Attractions ^nns+nom+++=Attractions
restaurants ^nns+nom+++=restaurants
etc ^rb++++=etc?
? ^zz++++=EXTRAWORD
most ^ql+emph+++=most
restaurants ^nns+nom+++=restaurants
are ^vb+ber+vrb++=are
open ^jj+pred+++=open
downtown ^rn++++=downtown
until ^in++++=until
10pm ^cd++++=10pm
then ^rn+tm+++=then
its ^pp$+it+++=its
night ^nn++++=night
life ^nn++++=life,
, ^zz++++=EXTRAWORD
Museum ^npl++++=Museum
of ^in++++=of
Northern ^np++++=Northern
Arizona ^np++++=Arizona
will ^md+prd+++=will
be ^vb+be+vrb++=be
open ^jj++++=open
late ^rb+tm+++=late
tonight ^nr+tm+++=tonight
for ^in++++=for
Thirsty ^jj+atrb+++=Thirsty
Thursday ^nr++++=Thursday
or ^cc++++=or
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
Lowell ^np+++??+=Lowell
observatory ^vb++++=observatory
that ^tht+vcmp+subj++=that
is ^vbz+bez+vrb++=is
open ^jj+pred+++=open
until ^in++++=until
10pm ^cd++++=10pm.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
where ^wrb+who+++=where
the ^ati++++=the
museum ^npl++++=museum
stays ^vbz++++=stays
open ^jj++++=open
late ^rb+tm+++=late
with ^in++++=with
food ^nn++++=food
and ^cc++++=and
drink ^nn++++=drink
vendors ^nns++++=vendors
and ^cc++++=and
local ^jj+atrb+++=local
musicians ^nns++++=musicians
playing ^vwbg+++xvbg+=playing
in ^in++++=in
the ^ati++++=the
courtyard ^nn++++=courtyard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
band ^nn++++=band
this ^dt+dem+++=this
week ^nn++++=week
is ^vbz+bez+vrb++=is
the ^ati++++=the
Light ^nn++++=Light
Meeting ^vbg+++xvbg+=Meeting
Which ^whp+who+++=which
Are ^vb+ber+vrb++=are
A ^at++++=a
Good ^jj++++=good
Local ^jj++++=local
Duo ^&fw++++=duo
Your ^pp$+pp2+++=your
Welcome ^nn++++=welcome
