hello ^rb+dspt+++=hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i'm
'm ^vb+bem+vrb++0=EXTRAWORD
< ^zz++++=<guide1>.
guide1 ^nn+++??+=EXTRAWORD
> ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
what ^wdt+who+++=what
things ^nns++++=things
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
interested ^jj++++=interested
in ^in++++=in
doing ^xvbg+++xvbg+=doing?
? ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
what ^wdt+who+++=what
hiking ^nn++++=hiking
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
trails ^nns++++=trails
of ^in++++=of
all ^abn++++=all
lengths ^nns++++=lengths
and ^cc++++=and
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
views ^nns++++=views
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
enjoy ^vb++++=enjoy
the ^ati++++=the
one ^cd1++++=one
that ^cs+sub+++=that
everyone ^pn++++=everyone
wants ^vbz++++=wants
to ^to+vcmp+++=to
do ^vbi++++=do
is ^vbz+bez+vrb++=is
humphreys ^nns+++??+=humphreys
peak ^nn++++=peak,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
try ^vb++++=try.
. ^zz++++=EXTRAWORD
the ^ati++++=the
trail ^nn++++=trail
is ^vbz+bez+vrb++=is
strenuous ^jj+pred+++=strenuous,
, ^zz++++=EXTRAWORD
the ^ati++++=the
roundtrip ^nn+++??+=roundtrip
takes ^vbz++++=takes
you ^pp2+pp2+++=you
about ^in++++=about
a ^at++++=a
6 ^zz++++=6-8
- ^zz++++=EXTRAWORD
8 ^zz++++=EXTRAWORD
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
worth ^in++++=worth
the ^ati++++=the
trek ^nn++++=trek!
! ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
tallest ^jjt+atrb+++=tallest
point ^nn++++=point
in ^in++++=in
arizona ^np++++=arizona.
. ^zz++++=EXTRAWORD
to ^to++++=to
do ^vbi++++=do
something ^pn++++=something
shorter ^jjr++++=shorter,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=could
hike ^vb+++??+=hike
the ^ati++++=the
Eldenlkt ^np+++??+=EldenLkt
trail ^nn++++=trail
on ^rp++++=on
mount ^npl++++=mount
elden ^vbd+++xvbn+=elden
and ^cc+phrs+++=and
get ^vb++++=get
views ^nns++++=views
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
enjoy ^vb++++=enjoy
of ^in++++=of
the ^ati++++=the
volcano ^nn++++=volcano
fields ^nns++++=fields
to ^in++++=to
the ^ati++++=the
east ^np+pl+++=east
of ^in++++=of
town ^nn++++=town.
. ^zz++++=EXTRAWORD
another ^dt++++=another
hike ^nn+++??+=hike
that ^tht+rel+subj++=that
gets ^vbz++++=gets
you ^pp2+pp2+++=you
away ^rp+pl+++=away
into ^in++++=into
nature ^nn++++=nature
is ^vbz+bez+vrb++=is
the ^ati++++=the
bear ^nn++++=bear
jaw ^nn++++=jaw/abineau
loop ^nn++++=loop.
. ^zz++++=EXTRAWORD
the ^ati++++=the
trail ^nn++++=trail
is ^vbz+bez+vrb++=is
also ^rb++++=also
harder ^jjr+pred+++=harder,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
hike ^nn+++??+=hike
on ^in++++=on
the ^ati++++=the
north ^np+pl+++=north
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
mountains ^nns++++=mountains
and ^cc++++=and
even ^rb++++=even
in ^in++++=in
june ^nr++++=june
you ^pp2+pp2+++=you
may ^md+pos+++=may
find ^vb+vprv+++=find
snow ^nn++++=snow
up ^rp++++=up
