No ^at++++=No
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
Aa ^np+++??+=AA
office ^nn++++=office
in ^in++++=in
Flagstaff ^np+++??+=Flagstaff
the ^ati++++=the
closest ^jjt+atrb+++=closest
one ^cd1++++=one
is ^vbz+bez+aux++=is
located ^vpsv++agls+xvbnx+=located
in ^in++++=in
Prescott ^np+++??+=Prescott
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
about ^in++++=about
an ^at++++=an
hour ^nn++++=hour
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
looking ^vbg+++xvbgx+=looking
for ^in++++=for
maps ^nns++++=maps
or ^cc++++=or
Arizona ^np++++=Arizona,
, ^zz++++=EXTRAWORD
Flagstaff ^np+++??+=Flagstaff
or ^cc++++=or
our ^pp$+pp1+++=our
surrounding ^jj+atrb++xvbg+=surrounding
states ^nns++++=states
the ^ati++++=the
Visitor ^nn++++=Visitor
Center ^np+++??+=Center
can ^md+pos+++=can
provide ^vb+vsua+++=provide
these ^dt+dem+++=these
to ^in++++=to
you ^pp2+pp2+++=you
for ^in++++=for
no ^at++++=no
charge ^nn++++=charge.
. ^zz++++=EXTRAWORD
Remax ^np+++??+=Remax
has ^vbz+hvz+vrb++=has
an ^at++++=an
office ^nn++++=office
in ^in++++=in
the ^ati++++=the
downtown ^rn++++=downtown
are ^vb+ber+vrb++=are
a ^at++++=a
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
located ^vpsv++agls+xvbnx+=located
at ^rb++++=at
the ^ati++++=the
on ^in++++=on
North ^nr+pl+++=North
Humphreys ^np+++??+=Humphreys
street ^nn++++=street
just ^rb+emph+++=just
before ^in++++=before
birch ^nn++++=birch
ave ^nn+++??+=ave.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside
the ^ati++++=the
Visitor ^nn++++=Visitor
Center ^np+++??+=Center
they ^pp3a+pp3+++=they
can ^md+pos+++=can
provide ^vb+vsua+tht0++=provide
you ^pp2+pp2+++=you
will ^md+prd+++=will
maps ^vb++++=maps
of ^in++++=of
the ^ati++++=the
area ^nn++++=area,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
street ^nn++++=street
map ^vb++++=map
of ^in++++=of
Flagstaff ^np+++??+=Flagstaff
that ^tht+rel+subj++=that
will ^md+prd+++=will
show ^vb+vprv+++=show
the ^ati++++=the
area ^nn++++=area
north ^np+pl+++=north
of ^in++++=of
town ^nn++++=town
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
take ^vb++++=take
highway ^nn++++=highway
180 ^cd++++=180
norther ^jjr++++=norther
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
some ^dti++++=some
neigborhoods ^nns+nom+++=neigborhoods
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
a ^at++++=a
bit ^nn++++=bit
more ^rbr++++=more
rural ^jj++++=rural
near ^in+pl+++=near
the ^ati++++=the
San ^np++++=San
Francisco ^np++++=Francisco
peaks ^nns++++=peaks
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
take ^vb++++=take
highway ^nn++++=highway
89 ^cd++++=89
north ^nr+pl+++=north
you ^pp2+pp2+++=you
will ^md+prd+++=will
find ^vb+vprv+tht0++=find
more ^rbr++++=more
rural ^jj+atrb+++=rural
neighborhoods ^nns+nom+++=neighborhoods
called ^vbd+++xvbn+=called
doney ^nn+++??+=doney
park ^npl++++=park.
. ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
where ^wrb+who+++=where
amny ^nn+++??+=amny
people ^nns++++=people
with ^in++++=with
horses ^nns++++=horses
or ^cc++++=or
other ^ap++++=other
animal ^nn++++=animal
live ^vb++++=live.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=Your
welcom ^np++++=Welcom
