hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
the ^ati++++=the
train ^nn++++=train
to ^in++++=to
the ^ati++++=the
Grandc ^np+++??+=GrandC
leaves ^nns++++=leaves
from ^in++++=from
williams ^np++++=williams,
, ^zz++++=EXTRAWORD
30 ^cd++++=30
minutes ^nns++++=minutes
west ^np+pl+++=west
of ^in++++=of
flagstaff ^nn+++??+=flagstaff
on ^in++++=on
i ^pp1a+pp1+++=i-40.
- ^zz++++=EXTRAWORD
40 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
the ^ati++++=the
train ^nn++++=train
here ^rn+pl+++=here
goes ^vbz++++=goes
east ^nr+pl+++=east-west
- ^zz++++=EXTRAWORD
west ^np+pl+++=EXTRAWORD
along ^in++++=along
route ^nn++++=route
66 ^cd++++=66
and ^cc++++=and
goes ^vbz++++=goes
chicago ^np++++=chicago
to ^to++++=to
los ^&fw++++=los
angeles ^np++++=angeles.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
drive ^vb++++=drive
or ^cc+phrs+++=or
take ^vb++++=take
a ^at++++=a
taxi ^nn++++=taxi
to ^in++++=to
williams ^np++++=williams,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
you ^pp2+pp2+++=you
can ^md+pos+++=can
take ^vb++++=take
the ^ati++++=the
arizona ^np++++=arizona
shuttle ^nn++++=shuttle
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
pay ^vb++++=pay
around ^in++++=around
$ ^zz++++=$35
35 ^cd++++=EXTRAWORD
each ^dt++++=each
way ^nn++++=way
on ^in++++=on
the ^ati++++=the
shuttle ^nn++++=shuttle.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
might ^md+pos+++=might
get ^vb++++=get
a ^at++++=a
better ^jjr+atrb+++=better
price ^nn++++=price
with ^in++++=with
a ^at++++=a
taxi ^nn++++=taxi.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=You're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome.
. ^zz++++=EXTRAWORD
