There ^ex+pex+++=There
are ^vb+ber+vrb++=are
public ^jj+atrb+++=public
restrooms ^nns+++??+=restrooms
in ^rp++++=in
City ^npl++++=City
Hall ^npl++++=Hall
or ^cc++++=or
Old ^jj+atrb+++=Old
Town ^nn++++=Town
Shops ^nns++++=Shops
parking ^vwbg+++xvbg+=parking
is ^vbz+bez+vrb++=is
easy ^jj+atrb+++=easy
downtwon ^nn+++??+=downtwon
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
$ ^zz++++=$1
1 ^zz++++=EXTRAWORD
per ^nnu++++=per
hour ^nn++++=hour
paid ^vbd+++xvbn+=paid
in ^in++++=in
kiosks ^nns++++=kiosks
by ^in++++=by
entering ^xvbg+++xvbg+=entering
your ^pp$+pp2+++=your
licence ^nn+nom+++=licence
plates ^nns++++=plates
and ^cc++++=and
credit ^nn++++=credit
card ^nn++++=card
or ^cc++++=or
by ^in++++=by
using ^vbg+++xvbg+=using
the ^ati++++=the
woosh ^np++++=Woosh
app ^np++++=App
your ^pp$+pp2+++=your
welcome ^nn++++=welcome
