Flagstaff ^np+++??+=Flagstaff
was ^vbd+bedz+aux++=was
formed ^vpsv++agls+xvbnx+=formed
in ^in++++=in
1882 ^cd+date+++=1882
as ^in++++=as
a ^at++++=a
railroad ^nn++++=railroad
town ^nn++++=town.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
named ^vpsv++agls+xvbnx+=named
flagstaff ^nn+++??+=flagstaff
because ^cs+cos+++=because
when ^wrb+who+++=when
the ^ati++++=the
explorers ^nns+nom+++=explorers
were ^vbd+bed+aux++=were
surveying ^vbg+++xvbgx+=surveying
the ^ati++++=the
area ^nn++++=area
they ^pp3a+pp3+++=they
reached ^vbd+++xvbnx+=reached
this ^dt+dem+++=this
area ^nn++++=area
on ^in++++=on
the ^ati++++=the
centennial ^nn++++=centennial
of ^in++++=of
the ^ati++++=the
declaration ^nn+nom+++=declaration
of ^in++++=of
independence ^nn+nom+++=independence
and ^cc++++=and
stripped ^vbd+++xvbn+=stripped
a ^at++++=a
pine ^nn++++=pine
tree ^nn++++=tree
of ^in++++=of
its ^pp$+it+++=its
branches ^nns++++=branches
to ^to++++=to
raise ^vbi++++=raise
up ^rp++++=up
the ^ati++++=the
american ^jj+atrb+++=american
flag ^nn++++=flag.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
from ^in++++=from
then ^rn+tm+++=then
on ^in++++=on
as ^ql++++=as
flagstaff ^vb++++=flagstaff.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
