what ^wdt+who+++=what
places ^nns++++=places
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
looking ^vbg+++xvbg+=looking
for ^in++++=for
attractions ^nns+nom+++=attractions
restaurants ^nns+nom+++=restaurants
etc ^rb++++=etc?
? ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
most ^ql+emph+++=most
restaurants ^nns+nom+++=restaurants
are ^vb+ber+vrb++=are
open ^jj+pred+++=open
downtown ^rn++++=downtown
until ^cs+sub+++=until
10pm ^cd++++=10pm
and ^cc++++=and
then ^rn+tm+++=then
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
nightlife ^nn+++??+=nightlife,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
guess ^vb++++=guess
the ^ati++++=the
museum ^nn++++=museum
of ^in++++=of
Northernaz ^np+++??+=NorthernAZ
will ^md+prd+++=will
be ^vb+be+vrb++=be
open ^jj++++=open
late ^jj++++=late
since ^cs+sub+++=since
tonight ^nr+tm+++=tonight
is ^vbz+bez+vrb++=is
thirsty ^jj+atrb+++=thirsty
thursday ^nr++++=thursday
or ^cc++++=or
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
lowellobservatory ^nn++++=lowellobservatory
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
open ^jj++++=open
late ^jj++++=late
until ^in++++=until
10pm ^cd++++=10pm.
. ^zz++++=EXTRAWORD
the ^ati++++=the
museum ^nn++++=museum
stays ^vbz++++=stays
open ^jj++++=open
late ^jj++++=late
and ^cc++++=and
hosts ^nns++++=hosts
food ^nn++++=food
and ^cc++++=and
drink ^nn++++=drink
vendors ^nns++++=vendors
and ^cc++++=and
musicians ^nns++++=musicians
playing ^vwbg+++xvbg+=playing
in ^in++++=in
the ^ati++++=the
courtyard ^nn++++=courtyard.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i've
've ^vb+hv+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
band ^nn++++=band
this ^dt+dem+++=this
week ^nn++++=week
is ^vbz+bez+vrb++=is
the ^ati++++=the
light ^jj++++=light
meeting ^jj+++xvbg+=meeting
which ^whp+who+++=which
i ^pp1a+pp1+++=i
believe ^vb+vprv+++=believe
are ^vb+ber+vrb++=are
a ^at++++=a
really ^rb+emph+++=really
good ^jj++++=good
local ^jj++++=local
duo ^&fw++++=duo
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
