There ^ex+pex+++=There
are ^vb+ber+vrb++=are
not ^xnot++not++=not
any ^dt++++=any
Zoos ^nns++++=Zoos
but ^cc++++=but
Bearizona ^np+++??+=Bearizona
is ^vbz+bez+vrb++=is
a ^at++++=a
drive ^nn++++=drive
through ^in++++=through
north ^nr+pl+++=north
american ^jj++++=american
wildlife ^vb+++??+=wildlife
park ^npl++++=park
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
30 ^cd++++=30
miles ^nns++++=miles
west ^np+pl+++=west
of ^in++++=of
here ^rn+pl+++=here
in ^in++++=in
Williams ^np++++=Williams
and ^cc++++=and
Out ^rp+pl+++=Out
of ^in++++=of
Africa ^np++++=Africa
is ^vbz+bez+vrb++=is
a ^at++++=a
African ^jj+atrb+++=African
wildlife ^nn+++??+=wildlife
park ^npl++++=park
about ^rp++++=about
one ^cd++++=one
hour ^nn++++=hour
south ^nr+pl+++=south
in ^in++++=in
Camp ^nn++++=Camp
Verde ^np+++??+=Verde.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
you ^pp2+pp2+++=you
just ^rb+emph+++=just
can ^md+pos+++=can
have ^vb+hv+vrb++=have
anything ^pn++++=anything
out ^rp+pl+++=out
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
car ^nn++++=car,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
makes ^vbz++++=makes
you ^pp2+pp2+++=you
nervous ^jj++++=nervous
you ^pp2+pp2+++=you
can ^md+pos+++=can
take ^vb++++=take
a ^at++++=a
bus ^nn++++=bus
ride ^nn++++=ride
trough ^nn++++=trough
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
$ ^zz++++=$22
22 ^cd++++=EXTRAWORD
for ^in++++=for
Adults ^nns++++=Adults
and ^cc++++=and
$ ^zz++++=$11
11 ^cd++++=EXTRAWORD
for ^in++++=for
children ^nns++++=Children
your ^pp$+pp2+++=your
welcome ^uh++++=welcome
have ^vb+hv+vrb++=have
a ^at++++=a
great ^jj+atrb+++=great
day ^nn++++=day
