how ^wrb+who+++=how
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah
Sedona ^np+++??+=Sedona
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
beautiful ^jj+pred+++=beautiful
and ^cc++++=and
a ^at++++=a
great ^jj+atrb+++=great
day ^nn++++=day
trip ^nn++++=trip
from ^in++++=from
Flagstaff ^np+++??+=Flagstaff.
. ^zz++++=EXTRAWORD
No ^at++++=No
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
national ^jj+atrb+++=national
Forest ^nn++++=Forest
and ^cc++++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
some ^dti++++=some
State ^nn++++=State
Parks ^nns++++=Parks
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
the ^ati++++=the
National ^jj+atrb+++=National
Park ^npl++++=Park
Pass ^vb++++=Pass
it ^pp3+it+++=it
will ^md+prd+++=will
cover ^vb++++=cover
parking ^nvbg+++xvbg+=parking
in ^in++++=in
the ^ati++++=the
National ^jj+atrb+++=National
Forest ^nn++++=Forest
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
oak ^nn++++=oak
Creek ^nn++++=Creek
Canyon ^np+++??+=Canyon,
, ^zz++++=EXTRAWORD
Cathedral ^nn+nom+++=Cathedral
Rock ^nn++++=Rock,
, ^zz++++=EXTRAWORD
Bell ^nn++++=Bell
Rock ^nn++++=Rock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Chimney ^nn++++=Chimney
Rock ^nn++++=Rock
Are ^vb+ber+vrb++=are
Some ^dti++++=some
Of ^in++++=of
The ^ati++++=the
Most ^ql+emph+++=most
Iconic ^nn++++=iconic
Areas ^nns++++=areas.
 ^zz++++=EXTRAWORD
