hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
flagstaff ^nn+++??+=flagstaff
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
for ^in++++=for
discovering ^xvbg+++xvbg+=discovering
pluto ^np++++=pluto
and ^cc++++=and
training ^nn++++=training
for ^in++++=for
the ^ati++++=the
apollo ^np++++=apollo
missions ^nns++++=missions
and ^cc++++=and
being ^vbg+beg++xvbg+=being
the ^ati++++=the
city ^nn++++=city
to ^to++++=to
stay ^vbi++++=stay
when ^wrb+who+++=when
you ^pp2+pp2+++=you
visit ^vb++++=visit
grandc ^np++++=GrandC.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
at ^rb++++=at
7000 ^cd++++=7000
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
