How ^wrb+who+++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
over ^in++++=over
90 ^cd++++=90
restaurants ^nns+nom+++=restaurants
downtown ^rn++++=downtown,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
a ^at++++=a
type ^nn++++=type
of ^in++++=of
food ^nn++++=food
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
mood ^nn++++=mood
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
