you ^pp2+pp2+++=you
should ^md+nec+++=should
visit ^vb++++=visit
the ^ati++++=the
navajo ^nn+++??+=navajo
festival ^nn+nom+++=festival,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
weekend ^nn++++=weekend
at ^in++++=at
the ^ati++++=the
museum ^nn++++=museum
of ^in++++=of
Northernaz ^np+++??+=NorthernAZ
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
regular ^jj+atrb+++=regular
admission ^nn++++=admission.
. ^zz++++=EXTRAWORD
adults ^nns++++=adults
pay ^vb++++=pay
$ ^zz++++=$12
12 ^cd++++=EXTRAWORD
other ^ap++++=other
than ^in++++=than
sushi ^nn+++??+=sushi
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
sakura ^nn+++??+=sakura
or ^cc++++=or
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
many ^ap++++=many
sushi ^nn+++??+=sushi
places ^nns++++=places
such ^abl++++=such
as ^ql++++=as
karma ^vb+++??+=karma,
, ^zz++++=EXTRAWORD
Teppanfuji ^np+++??+=TeppanFuji,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hiros ^nns+++??+=hiros
Karma ^np+++??+=Karma
Is ^vbz+bez+vrb++=is
Right ^jj+pred+++=right
Across ^in+pl+++=across
The ^ati++++=the
Street ^nn++++=street.
 ^zz++++=EXTRAWORD
You ^pp2+pp2+++=you're
Are ^vb+ber+vrb++=EXTRAWORD
Welcome ^jj+atrb+++=welcome
